-----------------------------------------
| concept            | property         |
| "Ni"               | "element"        |
| "Co"               | "element"        |
| "K"                | "element"        |
| "As"               | "element"        |
| "Sc"               | "element"        |
| "Cu"               | "element"        |
| "V"                | "element"        |
| "Ga"               | "element"        |
| "group_13"         | "group"          |
| "group_9"          | "group"          |
| "Na"               | "element"        |
| "Al"               | "element"        |
| "Ar"               | "element"        |
| "Cl"               | "element"        |
| "Si"               | "element"        |
| "Mg"               | "element"        |
| "P"                | "element"        |
| "group_11"         | "group"          |
| "period_3"         | "period"         |
| "group_4"          | "group"          |
| "liquid"           | "standardState"  |
| "group_17"         | "group"          |
| "Li"               | "element"        |
| "H"                | "element"        |
| "Fr"               | "element"        |
| "Cs"               | "element"        |
| "Rb"               | "element"        |
| "group_18"         | "group"          |
| "group_5"          | "group"          |
| "group_7"          | "group"          |
| "Uup"              | "element"        |
| "N"                | "element"        |
| "Bi"               | "element"        |
| "Sb"               | "element"        |
| "Tc"               | "element"        |
| "Bh"               | "element"        |
| "Re"               | "element"        |
| "group_16"         | "group"          |
| "Fm"               | "element"        |
| "U"                | "element"        |
| "No"               | "element"        |
| "Ac"               | "element"        |
| "Cm"               | "element"        |
| "Pa"               | "element"        |
| "Np"               | "element"        |
| "Bk"               | "element"        |
| "Cf"               | "element"        |
| "Th"               | "element"        |
| "Am"               | "element"        |
| "Es"               | "element"        |
| "Pu"               | "element"        |
| "Md"               | "element"        |
| "group_14"         | "group"          |
| "Semi-metallic"    | "classification" |
| "Ag"               | "element"        |
| "Au"               | "element"        |
| "Uuu"              | "element"        |
| "Lr"               | "element"        |
| "Uun"              | "element"        |
| "Mt"               | "element"        |
| "Uut"              | "element"        |
| "Ra"               | "element"        |
| "Uus"              | "element"        |
| "Uuo"              | "element"        |
| "Db"               | "element"        |
| "Uuq"              | "element"        |
| "Hs"               | "element"        |
| ""                 | "comment"        |
| ""                 | "seeAlso"        |
| "Ne"               | "element"        |
| "C"                | "element"        |
| "F"                | "element"        |
| "B"                | "element"        |
| "Be"               | "element"        |
| "Sr"               | "element"        |
| "Ba"               | "element"        |
| "In"               | "element"        |
| "Tl"               | "element"        |
| "Pt"               | "element"        |
| "Pd"               | "element"        |
| "Rh"               | "element"        |
| "I"                | "element"        |
| "Xe"               | "element"        |
| "Nb"               | "element"        |
| "Ru"               | "element"        |
| "Sn"               | "element"        |
| "Y"                | "element"        |
| "Ontology"         | "type"           |
| ""                 | "versionInfo"    |
| "Pb"               | "element"        |
| "Rn"               | "element"        |
| "He"               | "element"        |
| "Ir"               | "element"        |
| "Tm"               | "element"        |
| "La"               | "element"        |
| "Tb"               | "element"        |
| "Dy"               | "element"        |
| "Ta"               | "element"        |
| "Gd"               | "element"        |
| "Ce"               | "element"        |
| "Os"               | "element"        |
| "Nd"               | "element"        |
| "Eu"               | "element"        |
| "Ho"               | "element"        |
| "Er"               | "element"        |
| "Pr"               | "element"        |
| "Sm"               | "element"        |
| "Yb"               | "element"        |
| "Pm"               | "element"        |
| "At"               | "element"        |
| "Lu"               | "element"        |
-----------------------------------------
